PDB Code,Ligand Name,C-C,C-N,C-O,C-F,C-P,C-S,C-Cl,C-Br,C-I,N-C,N-N,N-O,N-F,N-P,N-S,N-Cl,N-Br,N-I,O-C,O-N,O-O,O-F,O-P,O-S,O-Cl,O-Br,O-I,F-C,F-N,F-O,F-F,F-P,F-S,F-Cl,F-Br,F-I,P-C,P-N,P-O,P-F,P-P,P-S,P-Cl,P-Br,P-I,S-C,S-N,S-O,S-F,S-P,S-S,S-Cl,S-Br,S-I,Cl-C,Cl-N,Cl-O,Cl-F,Cl-P,Cl-S,Cl-Cl,Cl-Br,Cl-I,Br-C,Br-N,Br-O,Br-F,Br-P,Br-S,Br-Cl,Br-Br,Br-I,I-C,I-N,I-O,I-F,I-P,I-S,I-Cl,I-Br,I-I,Total Count,Binding Data
1HK4,1HK4_ligand,18925,5005,4945,0,0,228,0,0,0,125,39,39,0,0,0,0,0,0,4981,1361,1355,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,174,183,0,0,6,0,0,0,38022,5.31
1HA2,1HA2_ligand,19933,5167,5089,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,5797,1568,1575,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39500,5.54
1GNI,1GNI_ligand,22298,5817,5641,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,5304,1430,1447,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42287,8.07
1NHU,1NHU_ligand,6180,1828,1429,0,0,59,0,0,0,241,71,63,0,0,2,0,0,0,82845,22625,24735,0,0,933,0,0,0,380,122,61,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141580,5.66
2D3Z,2D3Z_ligand,5912,1662,1420,0,0,60,0,0,0,242,73,61,0,0,2,0,0,0,157742,44047,47244,0,0,1732,0,0,0,322,92,69,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,545,163,142,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261538,6.64
2D3U,2D3U_ligand,6279,1745,1491,0,0,63,0,0,0,554,161,130,0,0,6,0,0,0,100915,27997,30038,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,175,151,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171393,6.92
1AJP,1AJP_ligand,1769,433,508,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,85295,23103,25112,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136589,2.23
1AI5,1AI5_ligand,1731,421,494,0,0,11,0,0,0,227,58,69,0,0,3,0,0,0,86009,23283,25347,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138015,3.72
1AJQ,1AJQ_ligand,1366,354,393,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,85191,23086,25144,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,53,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136247,4.31
1GPK,1GPK_ligand,4956,1160,1385,0,0,34,0,0,0,674,164,190,0,0,4,0,0,0,63852,16876,18291,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108107,5.37
1H23,1H23_ligand,6835,1499,1814,0,0,30,0,0,0,937,210,259,0,0,4,0,0,0,40489,10331,11378,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74125,8.35
1E66,1E66_ligand,5014,1112,1334,0,0,35,0,0,0,594,127,155,0,0,5,0,0,0,60920,15979,17317,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103129,9.89
2RKM,2RKM_ligand,2583,680,768,0,0,26,0,0,0,876,222,261,0,0,8,0,0,0,66922,17700,20187,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110397,3.9
1B9J,1B9J_ligand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65121,17119,19392,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101784,5.96
