PDB Code,Ligand Name,C-C,C-N,C-O,C-F,C-P,C-S,C-Cl,C-Br,C-I,N-C,N-N,N-O,N-F,N-P,N-S,N-Cl,N-Br,N-I,O-C,O-N,O-O,O-F,O-P,O-S,O-Cl,O-Br,O-I,F-C,F-N,F-O,F-F,F-P,F-S,F-Cl,F-Br,F-I,P-C,P-N,P-O,P-F,P-P,P-S,P-Cl,P-Br,P-I,S-C,S-N,S-O,S-F,S-P,S-S,S-Cl,S-Br,S-I,Cl-C,Cl-N,Cl-O,Cl-F,Cl-P,Cl-S,Cl-Cl,Cl-Br,Cl-I,Br-C,Br-N,Br-O,Br-F,Br-P,Br-S,Br-Cl,Br-Br,Br-I,I-C,I-N,I-O,I-F,I-P,I-S,I-Cl,I-Br,I-I,Total Count,Binding Data
2ada,2ada_ligand,2324,626,627,0,0,44,0,0,0,919,266,272,0,0,18,0,0,0,10615,2716,2955,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21504,13
2gh7,2gh7_ligand,7965,2102,2320,0,0,0,0,0,0,1546,370,420,0,0,0,0,0,0,31177,8877,10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,200,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66308,13
1rbo,1rbo_ligand,3908,1304,1144,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,175957,49486,51272,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,1344,416,368,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286411,12.72
1agm,1agm_ligand,18917,4910,6077,0,0,71,0,0,0,809,209,229,0,0,5,0,0,0,73496,19539,24141,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148654,12
1gah,1gah_ligand,15060,4024,5039,0,0,63,0,0,0,598,161,183,0,0,5,0,0,0,71389,18941,23565,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139275,12
1lf9,1lf9_ligand,8830,2308,2559,0,0,0,0,0,0,441,119,119,0,0,0,0,0,0,106287,27849,32643,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,80,98,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182086,12
1ctu,1ctu_ligand,1366,402,399,0,0,35,0,0,0,342,94,95,0,0,7,0,0,0,8016,2138,2323,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15304,11.92
1duv,1duv_ligand,4184,1270,1282,0,0,53,0,0,0,2709,834,831,0,0,60,0,0,0,96729,26825,29858,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,694,205,226,0,0,15,0,0,0,663,203,205,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167811,11.8
6cpa,6cpa_ligand,3573,1047,1151,0,0,0,0,0,0,282,92,88,0,0,0,0,0,0,20348,5435,6108,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,189,59,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38486,11.52
1lyb,1lyb_ligand,11224,3097,3537,0,0,93,0,0,0,1096,282,334,0,0,6,0,0,0,12546,3229,3689,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39215,11.42
1hvj,1hvj_ligand,6749,1875,2030,0,0,0,0,0,0,1226,338,360,0,0,0,0,0,0,1041,281,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14215,11.4
